global_step,seen_tokens,lr,recent_loss,step_ms,tok_s_M,vram_gb,val_ppl,best_val_ppl,saved
1000,51.2M,0.0002494,7.3794,,,,2040.05,2040.05,1
2000,102M,0.0002457,6.8847,,,,965.74,965.74,1
3000,154M,0.0002387,6.3302,,,,563.59,563.59,1
4000,205M,0.0002287,5.9296,,,,376.82,376.82,1
5000,256M,0.0002159,5.6391,,,,295.60,295.60,1
6000,307M,0.0002007,5.4150,,,,222.50,222.50,1
7000,358M,0.0001834,5.2407,,,,185.60,185.60,1
7500,336M,0.0001912,5.1906,,,,178.43,178.43,1
8000,358M,0.0001834,5.1327,,,,168.85,168.85,1
8500,381M,0.0001753,5.0827,,,,158.32,158.32,1
9000,403M,0.000167,5.0195,,,,151.38,151.38,1
9500,426M,0.0001584,4.9795,,,,147.35,147.35,1
10000,448M,0.0001497,4.9413,,,,135.38,135.38,1
10500,470M,0.0001408,4.9083,,,,132.82,132.82,1
11000,493M,0.0001319,4.8708,,,,125.46,125.46,1
11500,515M,0.0001229,4.8390,,,,123.47,123.47,1
12000,538M,0.000114,4.8129,,,,121.31,121.31,1
12500,560M,0.0001051,4.7804,,,,115.23,115.23,1
13000,582M,9.627e-05,4.7685,,,,114.26,114.26,1
13500,605M,8.761e-05,4.7449,,,,111.71,111.71,1
14000,627M,7.915e-05,4.7293,,,,108.26,108.26,1
14500,650M,7.093e-05,4.7136,,,,106.39,106.39,1
15000,672M,6.298e-05,4.6923,,,,105.10,105.10,1
15500,694M,5.536e-05,4.6766,,,,103.26,103.26,1
16000,717M,4.809e-05,4.6610,,,,102.12,102.12,1
16500,739M,4.122e-05,4.6539,,,,99.95,99.95,1
17000,762M,3.478e-05,4.6390,,,,99.01,99.01,1
17500,784M,2.88e-05,4.6294,,,,97.76,97.76,1
18000,806M,2.332e-05,4.6249,,,,97.99,97.76,0
18500,829M,1.837e-05,4.6135,,,,96.83,96.83,1
19000,851M,1.397e-05,4.6159,,,,95.96,95.96,1
19500,874M,1.013e-05,4.6149,,,,95.63,95.63,1
20000,896M,6.891e-06,4.5989,,,,94.31,94.31,1
20500,918M,4.259e-06,4.6004,,,,94.62,94.31,0
21000,941M,2.249e-06,4.5976,,,,94.34,94.31,0
21500,963M,8.72e-07,4.6051,,,,94.12,94.12,1
22000,986M,1.345e-07,4.6028,,,,94.27,94.12,0
22322,1B,1.289e-12,4.5921,,,,94.24,94.12,0
